ark_key,display_code,id,image,image_back,legacy_id,name,numeric_id,series,series_group,status,type
M5F,0070M5F,YW-ARK-0001,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0001.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0001.png,YKW-ARK-0001,Kappa,28707,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M3M,0005M3M,YW-ARK-0002,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0002.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0002.png,YKW-ARK-0002,Junior/Burning Dragon,28642,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M4D,0032M4D,YW-ARK-0003,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0003.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0003.png,YKW-ARK-0003,Super Sly/Mitsumata Ghidorah,28669,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
MAO,0259MAO,YW-ARK-0004,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0004.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0004.png,YKW-ARK-0004,Kyubi,28896,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M3J,0002M3J,YW-ARK-0005,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0005.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0005.png,YKW-ARK-0005,Komasan,28639,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M46,0025M46,YW-ARK-0006,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0006.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0006.png,YKW-ARK-0006,Blizzaria,28662,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M4A,0029M4A,YW-ARK-0007,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0007.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0007.png,YKW-ARK-0007,Kyubi,28666,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,single_scan,Ark
M3L,0004M3L,YW-ARK-0008,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0008.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0008.png,YKW-ARK-0008,Junior,28641,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M3K,0003M3K,YW-ARK-0009,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0009.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0009.png,YKW-ARK-0009,Bancho/Basher,28640,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,single_scan,Ark
M3S,0011M3S,YW-ARK-0010,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0010.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0010.png,YKW-ARK-0010,Charlie/Ghostcycle,28648,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
M3U,0013M3U,YW-ARK-0011,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/front/YW-ARK-0011.png,https://raw.githubusercontent.com/NFCSPOOFER/YWAPI/main/images/ark/back/YW-ARK-0011.png,YKW-ARK-0011,Jinta/Jingeki,28650,Series 1 - Open! First Door,Shadowside Yo-kai Keystone Series,confirmed,Ark
